Path,Longitude,Latitude,Altitude
0,120.886357,24.53772016,0
0,120.8863568,24.53772025,0
0,120.8863559,24.537721,0
0,120.8863559,24.537721,0
0,120.8863553,24.53772151,0.699999988
0,120.8863553,24.53772151,0.699999988
0,120.8863553,24.53772141,1.200000048
0,120.8863553,24.53772141,1.200000048
0,120.8863552,24.53772145,1.200000048
0,120.8863552,24.53772177,1.200000048
0,120.8863552,24.53772177,1.200000048
0,120.8863551,24.53772176,1.200000048
0,120.8863551,24.53772176,1.200000048
0,120.8863548,24.53772169,1.200000048
0,120.8863548,24.53772182,1.399999976
0,120.8863548,24.53772182,1.399999976
0,120.8863545,24.53772179,1.899999976
0,120.8863545,24.53772179,1.899999976
0,120.8863547,24.53772185,2.299999952
0,120.8863547,24.53772185,2.299999952
0,120.8863543,24.53772207,2.799999952
0,120.8863545,24.53772181,3.299999952
0,120.8863545,24.53772181,3.299999952
0,120.8863545,24.53772176,3.799999952
0,120.8863545,24.53772176,3.799999952
0,120.8863545,24.53772131,4.300000191
0,120.8863545,24.53772131,4.300000191
0,120.8863542,24.53772126,4.800000191
0,120.8863541,24.53772058,5.099999905
0,120.8863541,24.53772058,5.099999905
0,120.8863539,24.53772014,5.099999905
0,120.8863539,24.53772014,5.099999905
0,120.8863506,24.53772156,5.099999905
0,120.8863423,24.53772725,5.200000286
0,120.8863423,24.53772725,5.200000286
0,120.8863338,24.53773302,5.200000286
0,120.8863338,24.53773302,5.200000286
0,120.8863254,24.53773841,5.200000286
0,120.8863175,24.53774383,5
0,120.8863175,24.53774383,5
0,120.8863099,24.53774947,4.900000095
0,120.8863099,24.53774947,4.900000095
0,120.886303,24.53775527,4.800000191
0,120.8862955,24.53776127,4.800000191
0,120.8862955,24.53776127,4.800000191
0,120.8862881,24.53776689,4.800000191
0,120.8862881,24.53776689,4.800000191
0,120.8862809,24.53777246,4.800000191
0,120.8862738,24.53777821,4.900000095
0,120.8862738,24.53777821,4.900000095
0,120.8862665,24.53778441,4.800000191
0,120.8862665,24.53778441,4.800000191
0,120.8862597,24.53779051,4.800000191
0,120.8862524,24.53779622,4.900000095
0,120.8862524,24.53779622,4.900000095
0,120.8862453,24.53780221,4.900000095
0,120.8862453,24.53780221,4.900000095
0,120.8862378,24.5378081,4.900000095
0,120.8862307,24.53781422,4.900000095
0,120.8862307,24.53781422,4.900000095
0,120.8862239,24.5378201,5
0,120.8862239,24.5378201,5
0,120.8862169,24.53782618,4.900000095
0,120.8862095,24.53783216,4.900000095
0,120.8862095,24.53783216,4.900000095
0,120.8862026,24.53783854,5
0,120.8862026,24.53783854,5
0,120.8861955,24.53784445,5
0,120.8861874,24.53785057,5
0,120.8861874,24.53785057,5
0,120.8861799,24.53785626,5
0,120.8861799,24.53785626,5
0,120.8861722,24.53786196,4.900000095
0,120.8861649,24.5378682,5
0,120.8861649,24.5378682,5
0,120.8861575,24.53787438,4.900000095
0,120.8861575,24.53787438,4.900000095
0,120.8861503,24.53788151,4.800000191
0,120.8861433,24.5378883,4.800000191
0,120.8861433,24.5378883,4.800000191
0,120.8861367,24.5378956,4.800000191
0,120.8861367,24.5378956,4.800000191
0,120.8861299,24.53790264,4.800000191
0,120.8861233,24.53790955,4.800000191
0,120.8861233,24.53790955,4.800000191
0,120.8861163,24.53791651,4.800000191
0,120.8861163,24.53791651,4.800000191
0,120.8861096,24.53792327,4.800000191
0,120.8861028,24.53793022,4.800000191
0,120.8861028,24.53793022,4.800000191
0,120.8860967,24.53793743,4.900000095
0,120.8860967,24.53793743,4.900000095
0,120.8860904,24.53794483,4.800000191
0,120.8860842,24.53795183,4.900000095
0,120.8860842,24.53795183,4.900000095
0,120.8860778,24.53795889,4.800000191
0,120.8860778,24.53795889,4.800000191
0,120.8860716,24.53796596,4.900000095
0,120.8860716,24.53796596,4.900000095
0,120.8860656,24.53797293,4.800000191
0,120.8860594,24.53797984,4.900000095
0,120.8860594,24.53797984,4.900000095
0,120.886053,24.53798673,4.900000095
0,120.8860466,24.53799369,4.900000095
0,120.8860466,24.53799369,4.900000095
0,120.8860402,24.5380007,5
0,120.8860402,24.5380007,5
0,120.8860342,24.53800783,5
0,120.8860289,24.53801409,5
0,120.8860289,24.53801409,5
0,120.8860228,24.53802196,5
0,120.8860228,24.53802196,5
0,120.886017,24.53802927,5
0,120.886017,24.53802927,5
0,120.8860115,24.53803613,5
0,120.8860057,24.53804344,5
0,120.8860057,24.53804344,5
0,120.8860002,24.53805074,5.099999905
0,120.8860002,24.53805074,5.099999905
0,120.8859944,24.53805791,5.099999905
0,120.8859882,24.53806521,5.099999905
0,120.8859882,24.53806521,5.099999905
0,120.8859817,24.53807253,5.099999905
0,120.8859817,24.53807253,5.099999905
0,120.8859753,24.53807977,5.099999905
0,120.8859695,24.5380873,5.099999905
0,120.8859695,24.5380873,5.099999905
0,120.8859638,24.53809501,5.200000286
0,120.8859638,24.53809501,5.200000286
0,120.8859587,24.53810287,5.200000286
0,120.8859535,24.53811052,5.099999905
0,120.8859535,24.53811052,5.099999905
0,120.8859484,24.53811823,5.099999905
0,120.8859484,24.53811823,5.099999905
0,120.8859437,24.53812585,5.099999905
0,120.8859387,24.5381336,5
0,120.8859387,24.5381336,5
0,120.8859338,24.53814136,5.099999905
0,120.8859338,24.53814136,5.099999905
0,120.8859284,24.53814893,5.099999905
0,120.885923,24.53815647,5.200000286
0,120.885923,24.53815647,5.200000286
0,120.8859175,24.53816416,5.200000286
0,120.8859175,24.53816416,5.200000286
0,120.8859127,24.53817222,5
